date,teamA,teamB,winner,map_name,region,tier,teamA_players,teamB_players,teamA_ACS,teamB_ACS,teamA_KD,teamB_KD
2026-01-26,FUEGO,Tezcat Gaming,FUEGO,Icebox,AMERICAS,2,"FUEGO_p1,FUEGO_p2,FUEGO_p3,FUEGO_p4,FUEGO_p5","Tezcat Gaming_p1,Tezcat Gaming_p2,Tezcat Gaming_p3,Tezcat Gaming_p4,Tezcat Gaming_p5",230.6,219.7,1.19,0.87
2026-01-26,FUEGO,Tezcat Gaming,FUEGO,Split,AMERICAS,2,"FUEGO_p1,FUEGO_p2,FUEGO_p3,FUEGO_p4,FUEGO_p5","Tezcat Gaming_p1,Tezcat Gaming_p2,Tezcat Gaming_p3,Tezcat Gaming_p4,Tezcat Gaming_p5",215.1,215.8,1.31,1.14
2026-01-26,Nightblood Gaming,YFP,Nightblood Gaming,Ascent,UNKNOWN,2,"Nightblood Gaming_p1,Nightblood Gaming_p2,Nightblood Gaming_p3,Nightblood Gaming_p4,Nightblood Gaming_p5","YFP_p1,YFP_p2,YFP_p3,YFP_p4,YFP_p5",280.6,182.0,1.08,1.03
2026-01-26,Nightblood Gaming,YFP,YFP,Haven,UNKNOWN,2,"Nightblood Gaming_p1,Nightblood Gaming_p2,Nightblood Gaming_p3,Nightblood Gaming_p4,Nightblood Gaming_p5","YFP_p1,YFP_p2,YFP_p3,YFP_p4,YFP_p5",213.0,179.0,1.16,0.89
2026-01-26,Nightblood Gaming,YFP,YFP,Lotus,UNKNOWN,2,"Nightblood Gaming_p1,Nightblood Gaming_p2,Nightblood Gaming_p3,Nightblood Gaming_p4,Nightblood Gaming_p5","YFP_p1,YFP_p2,YFP_p3,YFP_p4,YFP_p5",212.1,245.1,0.48,1.1
2026-01-26,Shopify Rebellion Black,Winthrop University,Shopify Rebellion Black,Icebox,UNKNOWN,2,"Shopify Rebellion Black_p1,Shopify Rebellion Black_p2,Shopify Rebellion Black_p3,Shopify Rebellion Black_p4,Shopify Rebellion Black_p5","Winthrop University_p1,Winthrop University_p2,Winthrop University_p3,Winthrop University_p4,Winthrop University_p5",227.3,161.7,1.22,0.97
2026-01-26,Shopify Rebellion Black,Winthrop University,Shopify Rebellion Black,Split,UNKNOWN,2,"Shopify Rebellion Black_p1,Shopify Rebellion Black_p2,Shopify Rebellion Black_p3,Shopify Rebellion Black_p4,Shopify Rebellion Black_p5","Winthrop University_p1,Winthrop University_p2,Winthrop University_p3,Winthrop University_p4,Winthrop University_p5",209.7,163.0,1.01,1.16
2026-01-26,Shopify Rebellion Black,Winthrop University,Winthrop University,Ascent,UNKNOWN,2,"Shopify Rebellion Black_p1,Shopify Rebellion Black_p2,Shopify Rebellion Black_p3,Shopify Rebellion Black_p4,Shopify Rebellion Black_p5","Winthrop University_p1,Winthrop University_p2,Winthrop University_p3,Winthrop University_p4,Winthrop University_p5",176.1,225.1,0.92,1.21
2026-01-26,FUSION,LYON,LYON,Lotus,AMERICAS,2,"FUSION_p1,FUSION_p2,FUSION_p3,FUSION_p4,FUSION_p5","LYON_p1,LYON_p2,LYON_p3,LYON_p4,LYON_p5",261.4,235.2,1.17,1.16
2026-01-26,FUSION,LYON,LYON,Sunset,AMERICAS,2,"FUSION_p1,FUSION_p2,FUSION_p3,FUSION_p4,FUSION_p5","LYON_p1,LYON_p2,LYON_p3,LYON_p4,LYON_p5",221.5,242.5,1.0,1.06
2026-01-26,OXEN,LEVIATÁN Academy,OXEN,Sunset,AMERICAS,2,"OXEN_p1,OXEN_p2,OXEN_p3,OXEN_p4,OXEN_p5","LEVIATÁN Academy_p1,LEVIATÁN Academy_p2,LEVIATÁN Academy_p3,LEVIATÁN Academy_p4,LEVIATÁN Academy_p5",226.3,236.5,1.24,0.78
2026-01-26,OXEN,LEVIATÁN Academy,OXEN,Haven,AMERICAS,2,"OXEN_p1,OXEN_p2,OXEN_p3,OXEN_p4,OXEN_p5","LEVIATÁN Academy_p1,LEVIATÁN Academy_p2,LEVIATÁN Academy_p3,LEVIATÁN Academy_p4,LEVIATÁN Academy_p5",195.8,165.6,1.02,1.06
2026-01-26,OXEN,LEVIATÁN Academy,LEVIATÁN Academy,Abyss,AMERICAS,2,"OXEN_p1,OXEN_p2,OXEN_p3,OXEN_p4,OXEN_p5","LEVIATÁN Academy_p1,LEVIATÁN Academy_p2,LEVIATÁN Academy_p3,LEVIATÁN Academy_p4,LEVIATÁN Academy_p5",189.2,234.8,1.08,1.07
2026-01-26,Blue Otter,Pigeons,Pigeons,Sunset,UNKNOWN,2,"Blue Otter_p1,Blue Otter_p2,Blue Otter_p3,Blue Otter_p4,Blue Otter_p5","Pigeons_p1,Pigeons_p2,Pigeons_p3,Pigeons_p4,Pigeons_p5",218.6,211.1,0.68,1.08
2026-01-26,Blue Otter,Pigeons,Pigeons,Abyss,UNKNOWN,2,"Blue Otter_p1,Blue Otter_p2,Blue Otter_p3,Blue Otter_p4,Blue Otter_p5","Pigeons_p1,Pigeons_p2,Pigeons_p3,Pigeons_p4,Pigeons_p5",211.8,223.7,0.81,1.0
2026-01-26,Blue Otter,Pigeons,Blue Otter,Bind,UNKNOWN,2,"Blue Otter_p1,Blue Otter_p2,Blue Otter_p3,Blue Otter_p4,Blue Otter_p5","Pigeons_p1,Pigeons_p2,Pigeons_p3,Pigeons_p4,Pigeons_p5",198.4,226.0,1.04,0.9
2026-01-26,Evictix,Azure Dragon Gaming,Evictix,Split,UNKNOWN,2,"Evictix_p1,Evictix_p2,Evictix_p3,Evictix_p4,Evictix_p5","Azure Dragon Gaming_p1,Azure Dragon Gaming_p2,Azure Dragon Gaming_p3,Azure Dragon Gaming_p4,Azure Dragon Gaming_p5",220.0,180.6,1.11,0.83
2026-01-26,Evictix,Azure Dragon Gaming,Evictix,Lotus,UNKNOWN,2,"Evictix_p1,Evictix_p2,Evictix_p3,Evictix_p4,Evictix_p5","Azure Dragon Gaming_p1,Azure Dragon Gaming_p2,Azure Dragon Gaming_p3,Azure Dragon Gaming_p4,Azure Dragon Gaming_p5",201.4,201.1,0.82,0.75
2026-01-26,Evictix,Azure Dragon Gaming,Azure Dragon Gaming,Bind,UNKNOWN,2,"Evictix_p1,Evictix_p2,Evictix_p3,Evictix_p4,Evictix_p5","Azure Dragon Gaming_p1,Azure Dragon Gaming_p2,Azure Dragon Gaming_p3,Azure Dragon Gaming_p4,Azure Dragon Gaming_p5",177.2,242.9,0.71,1.23
2026-01-26,ALT F4,ShindeN,ShindeN,Haven,AMERICAS,2,"ALT F4_p1,ALT F4_p2,ALT F4_p3,ALT F4_p4,ALT F4_p5","ShindeN_p1,ShindeN_p2,ShindeN_p3,ShindeN_p4,ShindeN_p5",186.6,261.1,0.84,0.98
2026-01-26,ALT F4,ShindeN,ShindeN,Abyss,AMERICAS,2,"ALT F4_p1,ALT F4_p2,ALT F4_p3,ALT F4_p4,ALT F4_p5","ShindeN_p1,ShindeN_p2,ShindeN_p3,ShindeN_p4,ShindeN_p5",173.0,230.9,0.91,1.39
2026-01-26,G2 Gozen,SK Nebula,G2 Gozen,Abyss,EMEA,2,"G2 Gozen_p1,G2 Gozen_p2,G2 Gozen_p3,G2 Gozen_p4,G2 Gozen_p5","SK Nebula_p1,SK Nebula_p2,SK Nebula_p3,SK Nebula_p4,SK Nebula_p5",208.6,157.6,1.42,1.1
