date,teamA,teamB,winner,map_name,tier,region,tournament,teamA_ACS,teamB_ACS,teamA_KD,teamB_KD,score,map_order
2025-02-20,T1,EDward Gaming,T1,Ascent,1,International,Masters Bangkok 2025,246.8,218.5,1.29,1.16,2-1,1
2025-02-20,T1,EDward Gaming,T1,Bind,1,International,Masters Bangkok 2025,234.4,207.6,1.26,1.14,2-1,2
2025-02-20,T1,EDward Gaming,T1,Haven,1,International,Masters Bangkok 2025,259.1,229.4,1.31,1.19,2-1,3
2025-02-20,G2 Esports,Team Vitality,G2 Esports,Split,1,International,Masters Bangkok 2025,236.7,186.2,1.25,0.98,2-0,1
2025-02-20,G2 Esports,Team Vitality,G2 Esports,Breeze,1,International,Masters Bangkok 2025,246.3,193.8,1.22,0.96,2-0,2
2025-02-21,Paper Rex,Fnatic,Paper Rex,Haven,1,International,Masters Bangkok 2025,264.6,224.4,1.37,1.14,2-1,1
2025-02-21,Paper Rex,Fnatic,Paper Rex,Ascent,1,International,Masters Bangkok 2025,252.0,213.8,1.34,1.12,2-1,2
2025-02-21,Paper Rex,Fnatic,Paper Rex,Bind,1,International,Masters Bangkok 2025,239.4,203.1,1.31,1.09,2-1,3
2025-02-21,Sentinels,DRX,Sentinels,Split,1,International,Masters Bangkok 2025,226.4,200.2,1.14,1.03,2-0,1
2025-02-21,Sentinels,DRX,Sentinels,Breeze,1,International,Masters Bangkok 2025,235.6,208.3,1.12,1.01,2-0,2
2025-02-22,T1,Paper Rex,T1,Ascent,1,International,Masters Bangkok 2025,246.8,228.0,1.29,1.26,2-1,1
2025-02-22,T1,Paper Rex,T1,Haven,1,International,Masters Bangkok 2025,259.1,239.4,1.31,1.29,2-1,2
2025-02-22,T1,Paper Rex,T1,Split,1,International,Masters Bangkok 2025,241.8,223.4,1.3,1.27,2-1,3
2025-02-22,G2 Esports,Sentinels,G2 Esports,Bind,1,International,Masters Bangkok 2025,229.4,198.5,1.21,1.05,2-0,1
2025-02-22,G2 Esports,Sentinels,G2 Esports,Breeze,1,International,Masters Bangkok 2025,246.3,213.2,1.22,1.06,2-0,2
2025-02-27,EDward Gaming,T1,T1,Haven,1,International,Masters Bangkok 2025,229.4,259.1,1.19,1.31,2-1,1
2025-02-27,EDward Gaming,T1,T1,Ascent,1,International,Masters Bangkok 2025,218.5,246.8,1.16,1.29,2-1,2
2025-02-27,EDward Gaming,T1,T1,Split,1,International,Masters Bangkok 2025,214.1,241.8,1.18,1.3,2-1,3
2025-02-27,Team Vitality,G2 Esports,G2 Esports,Bind,1,International,Masters Bangkok 2025,180.5,229.4,0.95,1.21,2-0,1
2025-02-27,Team Vitality,G2 Esports,G2 Esports,Breeze,1,International,Masters Bangkok 2025,193.8,246.3,0.96,1.22,2-0,2
2025-02-28,EDward Gaming,G2 Esports,G2 Esports,Ascent,1,International,Masters Bangkok 2025,218.5,241.5,1.16,1.24,2-1,1
2025-02-28,EDward Gaming,G2 Esports,G2 Esports,Haven,1,International,Masters Bangkok 2025,229.4,253.6,1.19,1.26,2-1,2
2025-02-28,EDward Gaming,G2 Esports,G2 Esports,Split,1,International,Masters Bangkok 2025,214.1,236.7,1.18,1.25,2-1,3
2025-03-01,Paper Rex,Sentinels,Paper Rex,Bind,1,International,Masters Bangkok 2025,239.4,198.5,1.31,1.05,2-1,1
2025-03-01,Paper Rex,Sentinels,Paper Rex,Ascent,1,International,Masters Bangkok 2025,252.0,209.0,1.34,1.07,2-1,2
2025-03-01,Paper Rex,Sentinels,Paper Rex,Haven,1,International,Masters Bangkok 2025,264.6,219.4,1.37,1.09,2-1,3
2025-03-01,T1,Paper Rex,T1,Split,1,International,Masters Bangkok 2025,241.8,223.4,1.3,1.27,2-0,1
2025-03-01,T1,Paper Rex,T1,Breeze,1,International,Masters Bangkok 2025,251.7,232.6,1.27,1.25,2-0,2
2025-03-02,T1,G2 Esports,T1,Ascent,1,International,Masters Bangkok 2025,246.8,218.5,1.29,1.16,3-2,1
2025-03-02,T1,G2 Esports,T1,Bind,1,International,Masters Bangkok 2025,234.4,207.6,1.26,1.14,3-2,2
2025-03-02,T1,G2 Esports,T1,Haven,1,International,Masters Bangkok 2025,259.1,229.4,1.31,1.19,3-2,3
2025-03-02,T1,G2 Esports,T1,Split,1,International,Masters Bangkok 2025,241.8,214.1,1.3,1.18,3-2,4
2025-03-02,T1,G2 Esports,T1,Breeze,1,International,Masters Bangkok 2025,251.7,222.9,1.27,1.15,3-2,5
