date,teamA,teamB,winner,map_name,region,tier,teamA_players,teamB_players,teamA_ACS,teamB_ACS,teamA_KD,teamB_KD
2025-09-09,G2 Esports,LOUD,G2 Esports,Haven,AMERICAS,1,"G2 Esports_player1,G2 Esports_player2,G2 Esports_player3,G2 Esports_player4,G2 Esports_player5","LOUD_player1,LOUD_player2,LOUD_player3,LOUD_player4,LOUD_player5",302.8,208.6,1.31,0.97
2025-09-09,Leviatán,NRG Esports,NRG Esports,Abyss,AMERICAS,1,"Leviatán_player1,Leviatán_player2,Leviatán_player3,Leviatán_player4,Leviatán_player5","NRG Esports_player1,NRG Esports_player2,NRG Esports_player3,NRG Esports_player4,NRG Esports_player5",219.5,283.5,0.85,1.23
2025-09-09,Rex Regum Qeon,Gen.G,Rex Regum Qeon,Sunset,PACIFIC,1,"Rex Regum Qeon_player1,Rex Regum Qeon_player2,Rex Regum Qeon_player3,Rex Regum Qeon_player4,Rex Regum Qeon_player5","Gen.G_player1,Gen.G_player2,Gen.G_player3,Gen.G_player4,Gen.G_player5",243.2,191.3,1.65,1.13
2025-09-08,Leviatán,LOUD,LOUD,Split,AMERICAS,1,"Leviatán_player1,Leviatán_player2,Leviatán_player3,Leviatán_player4,Leviatán_player5","LOUD_player1,LOUD_player2,LOUD_player3,LOUD_player4,LOUD_player5",198.6,269.7,1.04,1.4
2025-09-08,Team Liquid,BBL Esports,Team Liquid,Bind,EMEA,1,"Team Liquid_player1,Team Liquid_player2,Team Liquid_player3,Team Liquid_player4,Team Liquid_player5","BBL Esports_player1,BBL Esports_player2,BBL Esports_player3,BBL Esports_player4,BBL Esports_player5",253.4,216.0,1.24,0.87
2025-09-07,Fnatic,FUT Esports,Fnatic,Bind,EMEA,1,"Fnatic_player1,Fnatic_player2,Fnatic_player3,Fnatic_player4,Fnatic_player5","FUT Esports_player1,FUT Esports_player2,FUT Esports_player3,FUT Esports_player4,FUT Esports_player5",298.0,224.1,1.42,1.0
2025-09-06,Dragon Ranger Gaming,Trace Esports,Trace Esports,Ascent,CHINA,1,"Dragon Ranger Gaming_player1,Dragon Ranger Gaming_player2,Dragon Ranger Gaming_player3,Dragon Ranger Gaming_player4,Dragon Ranger Gaming_player5","Trace Esports_player1,Trace Esports_player2,Trace Esports_player3,Trace Esports_player4,Trace Esports_player5",193.5,277.6,1.04,1.42
2025-09-06,Natus Vincere,Movistar KOI,Movistar KOI,Icebox,EMEA,1,"Natus Vincere_player1,Natus Vincere_player2,Natus Vincere_player3,Natus Vincere_player4,Natus Vincere_player5","Movistar KOI_player1,Movistar KOI_player2,Movistar KOI_player3,Movistar KOI_player4,Movistar KOI_player5",220.3,267.2,0.82,1.12
2025-09-05,Movistar KOI,Fnatic,Movistar KOI,Split,EMEA,1,"Movistar KOI_player1,Movistar KOI_player2,Movistar KOI_player3,Movistar KOI_player4,Movistar KOI_player5","Fnatic_player1,Fnatic_player2,Fnatic_player3,Fnatic_player4,Fnatic_player5",266.5,218.0,1.78,1.12
2025-09-04,Evil Geniuses,Leviatán,Leviatán,Split,AMERICAS,1,"Evil Geniuses_player1,Evil Geniuses_player2,Evil Geniuses_player3,Evil Geniuses_player4,Evil Geniuses_player5","Leviatán_player1,Leviatán_player2,Leviatán_player3,Leviatán_player4,Leviatán_player5",178.9,266.9,0.85,1.27
2025-09-04,Natus Vincere,Team Liquid,Team Liquid,Ascent,EMEA,1,"Natus Vincere_player1,Natus Vincere_player2,Natus Vincere_player3,Natus Vincere_player4,Natus Vincere_player5","Team Liquid_player1,Team Liquid_player2,Team Liquid_player3,Team Liquid_player4,Team Liquid_player5",227.4,288.0,0.86,1.18
2025-09-04,FURIA Esports,100 Thieves,100 Thieves,Abyss,AMERICAS,1,"FURIA Esports_player1,FURIA Esports_player2,FURIA Esports_player3,FURIA Esports_player4,FURIA Esports_player5","100 Thieves_player1,100 Thieves_player2,100 Thieves_player3,100 Thieves_player4,100 Thieves_player5",233.1,306.2,1.12,1.45
