date,teamA,teamB,winner,map_name,region,tier,teamA_players,teamB_players,teamA_ACS,teamB_ACS,teamA_KD,teamB_KD
2025-09-08,EMPIRE :3,Tenax GC,EMPIRE :3,Icebox,Unknown,2,"EMPIRE :3_player1,EMPIRE :3_player2,EMPIRE :3_player3,EMPIRE :3_player4,EMPIRE :3_player5","Tenax GC_player1,Tenax GC_player2,Tenax GC_player3,Tenax GC_player4,Tenax GC_player5",204.9,219.1,0.9,0.85
2025-09-08,EMPIRE :3,Tenax GC,EMPIRE :3,Ascent,Unknown,2,"EMPIRE :3_player1,EMPIRE :3_player2,EMPIRE :3_player3,EMPIRE :3_player4,EMPIRE :3_player5","Tenax GC_player1,Tenax GC_player2,Tenax GC_player3,Tenax GC_player4,Tenax GC_player5",159.0,197.3,1.01,0.84
2025-09-08,Blue Otter GC,YDZ Black,Blue Otter GC,Split,Unknown,2,"Blue Otter GC_player1,Blue Otter GC_player2,Blue Otter GC_player3,Blue Otter GC_player4,Blue Otter GC_player5","YDZ Black_player1,YDZ Black_player2,YDZ Black_player3,YDZ Black_player4,YDZ Black_player5",253.8,199.7,0.91,1.14
2025-09-08,Blue Otter GC,YDZ Black,Blue Otter GC,Icebox,Unknown,2,"Blue Otter GC_player1,Blue Otter GC_player2,Blue Otter GC_player3,Blue Otter GC_player4,Blue Otter GC_player5","YDZ Black_player1,YDZ Black_player2,YDZ Black_player3,YDZ Black_player4,YDZ Black_player5",168.3,213.0,0.83,0.77
2025-09-08,Blue Otter GC,YDZ Black,YDZ Black,Sunset,Unknown,2,"Blue Otter GC_player1,Blue Otter GC_player2,Blue Otter GC_player3,Blue Otter GC_player4,Blue Otter GC_player5","YDZ Black_player1,YDZ Black_player2,YDZ Black_player3,YDZ Black_player4,YDZ Black_player5",215.9,222.7,0.75,1.01
2025-09-08,Mak N Cheese,^-^,^-^,Sunset,Unknown,2,"Mak N Cheese_player1,Mak N Cheese_player2,Mak N Cheese_player3,Mak N Cheese_player4,Mak N Cheese_player5","^-^_player1,^-^_player2,^-^_player3,^-^_player4,^-^_player5",188.3,195.6,1.02,1.02
2025-09-08,Mak N Cheese,^-^,^-^,Sunset,Unknown,2,"Mak N Cheese_player1,Mak N Cheese_player2,Mak N Cheese_player3,Mak N Cheese_player4,Mak N Cheese_player5","^-^_player1,^-^_player2,^-^_player3,^-^_player4,^-^_player5",218.1,169.6,1.23,1.23
2025-09-08,Corinthians Esports Inclusivo,TBS Esports GC,TBS Esports GC,Icebox,Unknown,2,"Corinthians Esports Inclusivo_player1,Corinthians Esports Inclusivo_player2,Corinthians Esports Inclusivo_player3,Corinthians Esports Inclusivo_player4,Corinthians Esports Inclusivo_player5","TBS Esports GC_player1,TBS Esports GC_player2,TBS Esports GC_player3,TBS Esports GC_player4,TBS Esports GC_player5",189.5,184.2,0.76,1.06
2025-09-08,Corinthians Esports Inclusivo,TBS Esports GC,TBS Esports GC,Lotus,Unknown,2,"Corinthians Esports Inclusivo_player1,Corinthians Esports Inclusivo_player2,Corinthians Esports Inclusivo_player3,Corinthians Esports Inclusivo_player4,Corinthians Esports Inclusivo_player5","TBS Esports GC_player1,TBS Esports GC_player2,TBS Esports GC_player3,TBS Esports GC_player4,TBS Esports GC_player5",207.3,210.9,0.8,1.08
2025-09-08,100 Thieves GC,FlyQuest RED,100 Thieves GC,Abyss,Unknown,2,"100 Thieves GC_player1,100 Thieves GC_player2,100 Thieves GC_player3,100 Thieves GC_player4,100 Thieves GC_player5","FlyQuest RED_player1,FlyQuest RED_player2,FlyQuest RED_player3,FlyQuest RED_player4,FlyQuest RED_player5",195.7,181.9,0.79,1.04
