date,teamA,teamB,winner,map_name,region,tier,teamA_players,teamB_players,teamA_ACS,teamB_ACS,teamA_KD,teamB_KD
2025-09-07,Titan Esports Club,JDG Esports,JDG Esports,Icebox,ALL,2,"Titan Esports Club_player1,Titan Esports Club_player2,Titan Esports Club_player3,Titan Esports Club_player4,Titan Esports Club_player5","JDG Esports_player1,JDG Esports_player2,JDG Esports_player3,JDG Esports_player4,JDG Esports_player5",223.8,230.9,1.17,1.16
2025-09-07,Titan Esports Club,JDG Esports,JDG Esports,Sunset,ALL,2,"Titan Esports Club_player1,Titan Esports Club_player2,Titan Esports Club_player3,Titan Esports Club_player4,Titan Esports Club_player5","JDG Esports_player1,JDG Esports_player2,JDG Esports_player3,JDG Esports_player4,JDG Esports_player5",264.6,229.2,1.42,1.22
2025-09-07,Titan Esports Club,JDG Esports,JDG Esports,Bind,ALL,2,"Titan Esports Club_player1,Titan Esports Club_player2,Titan Esports Club_player3,Titan Esports Club_player4,Titan Esports Club_player5","JDG Esports_player1,JDG Esports_player2,JDG Esports_player3,JDG Esports_player4,JDG Esports_player5",232.9,283.0,1.54,1.18
2025-09-06,FunPlus Phoenix,Wolves Esports,Wolves Esports,Icebox,ALL,2,"FunPlus Phoenix_player1,FunPlus Phoenix_player2,FunPlus Phoenix_player3,FunPlus Phoenix_player4,FunPlus Phoenix_player5","Wolves Esports_player1,Wolves Esports_player2,Wolves Esports_player3,Wolves Esports_player4,Wolves Esports_player5",279.6,250.4,1.32,1.18
2025-09-06,FunPlus Phoenix,Wolves Esports,Wolves Esports,Ascent,ALL,2,"FunPlus Phoenix_player1,FunPlus Phoenix_player2,FunPlus Phoenix_player3,FunPlus Phoenix_player4,FunPlus Phoenix_player5","Wolves Esports_player1,Wolves Esports_player2,Wolves Esports_player3,Wolves Esports_player4,Wolves Esports_player5",216.3,233.0,1.51,1.42
2025-09-06,FunPlus Phoenix,Wolves Esports,Wolves Esports,Icebox,ALL,2,"FunPlus Phoenix_player1,FunPlus Phoenix_player2,FunPlus Phoenix_player3,FunPlus Phoenix_player4,FunPlus Phoenix_player5","Wolves Esports_player1,Wolves Esports_player2,Wolves Esports_player3,Wolves Esports_player4,Wolves Esports_player5",254.0,221.3,1.25,1.07
2025-09-05,JDG Esports,Wolves Esports,JDG Esports,Icebox,ALL,2,"JDG Esports_player1,JDG Esports_player2,JDG Esports_player3,JDG Esports_player4,JDG Esports_player5","Wolves Esports_player1,Wolves Esports_player2,Wolves Esports_player3,Wolves Esports_player4,Wolves Esports_player5",248.3,218.5,1.19,1.32
2025-09-05,JDG Esports,Wolves Esports,JDG Esports,Abyss,ALL,2,"JDG Esports_player1,JDG Esports_player2,JDG Esports_player3,JDG Esports_player4,JDG Esports_player5","Wolves Esports_player1,Wolves Esports_player2,Wolves Esports_player3,Wolves Esports_player4,Wolves Esports_player5",220.7,250.1,1.25,1.49
2025-09-05,JDG Esports,Wolves Esports,Wolves Esports,Icebox,ALL,2,"JDG Esports_player1,JDG Esports_player2,JDG Esports_player3,JDG Esports_player4,JDG Esports_player5","Wolves Esports_player1,Wolves Esports_player2,Wolves Esports_player3,Wolves Esports_player4,Wolves Esports_player5",225.9,250.2,1.53,1.45
2025-09-05,Titan Esports Club,FunPlus Phoenix,Titan Esports Club,Lotus,ALL,2,"Titan Esports Club_player1,Titan Esports Club_player2,Titan Esports Club_player3,Titan Esports Club_player4,Titan Esports Club_player5","FunPlus Phoenix_player1,FunPlus Phoenix_player2,FunPlus Phoenix_player3,FunPlus Phoenix_player4,FunPlus Phoenix_player5",179.5,213.6,1.24,1.35
2025-09-05,Titan Esports Club,FunPlus Phoenix,Titan Esports Club,Abyss,ALL,2,"Titan Esports Club_player1,Titan Esports Club_player2,Titan Esports Club_player3,Titan Esports Club_player4,Titan Esports Club_player5","FunPlus Phoenix_player1,FunPlus Phoenix_player2,FunPlus Phoenix_player3,FunPlus Phoenix_player4,FunPlus Phoenix_player5",251.6,228.5,1.33,1.27
2025-09-05,Titan Esports Club,FunPlus Phoenix,FunPlus Phoenix,Abyss,ALL,2,"Titan Esports Club_player1,Titan Esports Club_player2,Titan Esports Club_player3,Titan Esports Club_player4,Titan Esports Club_player5","FunPlus Phoenix_player1,FunPlus Phoenix_player2,FunPlus Phoenix_player3,FunPlus Phoenix_player4,FunPlus Phoenix_player5",239.8,226.2,1.27,1.19
